invoice_id,service_category,client_industry,country,project_type,total_amount,total_hours,num_services,discount,tax_rate,documentation_complexity,payment_terms,timestamp
IT-2023024,Web Development,Manufacturing,UK,Time & Materials,23489,174,3,14.27,20.0,High,Net 30,2025-04-26 00:04:08.383996
IT-2023025,Cloud Services,Government,CA,Retainer,18368,90,2,0.0,13.0,High,Net 30,2025-03-13 00:04:08.383996
IT-2023026,System Integration,Healthcare,DE,Time & Materials,24625,193,4,8.38,19.0,High,Net 30,2025-08-02 00:04:08.383996
IT-2023027,Database Management,Healthcare,AU,Fixed Price,14658,123,2,6.62,10.0,Medium,"50% Advance, 50% on Completion",2025-06-01 00:04:08.383996
IT-2023028,AI/ML Solutions,E-commerce,CA,Time & Materials,20042,152,4,12.54,13.0,High,Net 30,2025-06-05 00:04:08.383996
IT-2023029,Data Analytics,Government,SG,Retainer,23795,207,4,9.2,7.0,High,Net 30,2025-07-10 00:04:08.383996
IT-2023030,Cybersecurity,Healthcare,SG,Time & Materials,27797,131,2,9.97,7.0,High,Net 30,2025-01-18 00:04:08.383996
IT-2023031,Network Infrastructure,E-commerce,UK,Time & Materials,20533,169,4,8.14,20.0,High,Net 30,2025-04-24 00:04:08.383996
IT-2023032,AI/ML Solutions,Government,DE,Time & Materials,20903,196,4,9.66,19.0,High,Net 30,2025-03-24 00:04:08.383996
IT-2023033,Data Analytics,Education,AU,Time & Materials,2650,25,1,0.0,10.0,Low,Net 30,2025-03-01 00:04:08.383996
IT-2023034,Cybersecurity,Finance,AU,Retainer,25433,107,2,13.24,10.0,High,Net 30,2025-03-05 00:04:08.383996
IT-2023035,Software Development,Manufacturing,DE,Fixed Price,4150,25,1,0.0,19.0,Low,"50% Advance, 50% on Completion",2025-06-15 00:04:08.383996
IT-2023036,Web Development,E-commerce,US,Fixed Price,16809,151,3,0.0,8.5,High,"50% Advance, 50% on Completion",2025-06-27 00:04:08.383996
IT-2023037,Mobile Development,Government,DE,Retainer,24795,182,4,14.3,19.0,High,Net 30,2025-09-14 00:04:08.383996
IT-2023038,Cloud Services,Healthcare,SG,Retainer,14208,74,1,10.12,7.0,Medium,Net 30,2024-12-30 00:04:08.383996
IT-2023039,Web Development,Finance,UK,Fixed Price,38922,290,5,13.6,20.0,High,"50% Advance, 50% on Completion",2024-10-06 00:04:08.383996
IT-2023040,System Integration,Manufacturing,SG,Retainer,12952,109,2,0.0,7.0,High,Net 30,2025-06-30 00:04:08.383996
IT-2023041,DevOps Services,Finance,US,Retainer,17219,152,2,6.2,8.5,High,Net 30,2025-04-08 00:04:08.383996
IT-2023042,IT Consulting,E-commerce,CA,Fixed Price,27770,106,2,12.22,13.0,High,"50% Advance, 50% on Completion",2025-07-05 00:04:08.383996
IT-2023043,AI/ML Solutions,Manufacturing,CA,Time & Materials,26977,191,4,13.2,13.0,High,Net 30,2024-11-26 00:04:08.383996
IT-2023044,Cloud Services,Government,DE,Fixed Price,37134,223,5,10.84,19.0,High,"50% Advance, 50% on Completion",2024-10-01 00:04:08.383996
IT-2023045,Software Development,Finance,US,Time & Materials,7137,39,1,0.0,8.5,Low,Net 30,2025-05-15 00:04:08.383996
IT-2023046,Web Development,Education,CA,Fixed Price,10080,70,1,0.0,13.0,Medium,"50% Advance, 50% on Completion",2025-07-24 00:04:08.383996
IT-2023047,Data Analytics,Finance,CA,Fixed Price,11384,87,2,5.83,13.0,Medium,"50% Advance, 50% on Completion",2024-10-03 00:04:08.383996
IT-2023048,Cloud Services,Finance,SG,Retainer,56637,392,5,12.61,7.0,High,Net 30,2024-10-24 00:04:08.383996
IT-2023049,System Integration,Education,UK,Retainer,10488,92,1,0.0,20.0,High,Net 30,2025-02-12 00:04:08.383996
IT-2023050,Web Development,Government,UK,Time & Materials,25035,172,4,11.98,20.0,High,Net 30,2024-11-29 00:04:08.383996
IT-2023051,Cybersecurity,Manufacturing,DE,Retainer,66829,325,6,13.69,19.0,High,Net 30,2024-11-26 00:04:08.383996
IT-2023052,Web Development,Manufacturing,DE,Time & Materials,12573,99,1,0.0,19.0,Medium,Net 30,2025-06-10 00:04:08.383996
IT-2023053,AI/ML Solutions,Government,US,Support Contract,30931,257,5,9.78,8.5,High,Monthly in Advance,2024-12-27 00:04:08.383996
IT-2023054,Data Analytics,Manufacturing,AU,Retainer,29890,230,5,14.39,10.0,High,Net 30,2025-08-14 00:04:08.383996
IT-2023055,Database Management,Finance,AU,Fixed Price,14652,118,5,11.9,10.0,Medium,"50% Advance, 50% on Completion",2025-05-06 00:04:08.383996
IT-2023056,Mobile Development,Healthcare,UK,Retainer,43320,350,6,12.29,20.0,High,Net 30,2025-01-10 00:04:08.383996
IT-2023057,Mobile Development,E-commerce,DE,Fixed Price,29543,228,5,13.84,19.0,High,"50% Advance, 50% on Completion",2024-12-21 00:04:08.383996
IT-2023058,Database Management,Education,CA,Fixed Price,22687,201,3,10.13,13.0,High,"50% Advance, 50% on Completion",2025-01-03 00:04:08.383996
IT-2023059,DevOps Services,Healthcare,CA,Time & Materials,42944,322,6,10.59,13.0,High,Net 30,2025-09-05 00:04:08.383996
IT-2023060,Network Infrastructure,Government,CA,Support Contract,22277,173,4,14.03,13.0,High,Monthly in Advance,2024-10-09 00:04:08.383996
IT-2023061,Database Management,Government,UK,Time & Materials,30281,242,5,14.8,20.0,High,Net 30,2025-08-27 00:04:08.383996
IT-2023062,AI/ML Solutions,E-commerce,SG,Support Contract,45421,355,5,9.44,7.0,High,Monthly in Advance,2025-07-18 00:04:08.383996
IT-2023063,AI/ML Solutions,Healthcare,CA,Fixed Price,6160,44,1,0.0,13.0,Low,"50% Advance, 50% on Completion",2025-09-15 00:04:08.383996
IT-2023064,AI/ML Solutions,E-commerce,US,Time & Materials,14210,105,2,0.0,8.5,Medium,Net 30,2024-11-30 00:04:08.383996
IT-2023065,Mobile Development,Education,AU,Fixed Price,31420,226,4,11.44,10.0,High,"50% Advance, 50% on Completion",2025-08-15 00:04:08.383996
IT-2023066,Cybersecurity,Education,UK,Retainer,80257,348,5,10.03,20.0,High,Net 30,2024-12-27 00:04:08.383996
IT-2023067,Network Infrastructure,Government,US,Support Contract,19263,164,3,0.0,8.5,High,Monthly in Advance,2025-09-13 00:04:08.383996
IT-2023068,Cybersecurity,Manufacturing,CA,Time & Materials,57869,267,4,11.71,13.0,High,Net 30,2025-07-21 00:04:08.383996
IT-2023069,Software Development,Education,AU,Fixed Price,31669,170,4,9.74,10.0,High,"50% Advance, 50% on Completion",2025-01-17 00:04:08.383996
IT-2023070,DevOps Services,Manufacturing,UK,Support Contract,18144,150,4,0.0,20.0,High,Monthly in Advance,2025-04-28 00:04:08.383996
IT-2023071,Data Analytics,Finance,SG,Time & Materials,14101,112,2,9.96,7.0,Medium,Net 30,2025-04-26 00:04:08.385001
IT-2023072,IT Consulting,Manufacturing,DE,Support Contract,71657,338,6,14.67,19.0,High,Monthly in Advance,2025-07-25 00:04:08.385001
IT-2023073,IT Consulting,E-commerce,UK,Time & Materials,54466,252,5,14.87,20.0,High,Net 30,2025-05-30 00:04:08.385001
IT-2023074,Cybersecurity,Education,SG,Retainer,37015,161,3,14.28,7.0,High,Net 30,2025-05-20 00:04:08.385001
IT-2023075,Cloud Services,Finance,DE,Time & Materials,49901,348,6,14.88,19.0,High,Net 30,2025-08-14 00:04:08.385001
IT-2023076,Network Infrastructure,Healthcare,SG,Fixed Price,46461,372,6,11.8,7.0,High,"50% Advance, 50% on Completion",2025-05-11 00:04:08.385001
IT-2023077,Network Infrastructure,E-commerce,DE,Support Contract,22019,190,4,9.71,19.0,High,Monthly in Advance,2024-10-22 00:04:08.385001
IT-2023078,System Integration,Government,US,Fixed Price,43116,377,6,14.73,8.5,High,"50% Advance, 50% on Completion",2025-05-24 00:04:08.385001
IT-2023079,Data Analytics,Healthcare,US,Retainer,32181,278,5,8.65,8.5,High,Net 30,2025-03-09 00:04:08.385001
IT-2023080,Mobile Development,Education,UK,Fixed Price,38089,295,6,14.97,20.0,High,"50% Advance, 50% on Completion",2025-06-05 00:04:08.385001
IT-2023081,DevOps Services,Manufacturing,US,Time & Materials,15245,135,2,0.0,8.5,High,Net 30,2025-01-14 00:04:08.385001
IT-2023082,DevOps Services,Finance,DE,Support Contract,27308,221,4,13.07,19.0,High,Monthly in Advance,2025-07-04 00:04:08.385001
IT-2023083,IT Consulting,Education,UK,Time & Materials,53658,241,5,14.25,20.0,High,Net 30,2024-10-06 00:04:08.385001
IT-2023084,IT Consulting,Healthcare,SG,Fixed Price,28865,124,2,13.65,7.0,High,"50% Advance, 50% on Completion",2025-03-06 00:04:08.385001
IT-2023085,IT Consulting,E-commerce,AU,Retainer,67099,305,6,11.49,10.0,High,Net 30,2024-11-17 00:04:08.385001
IT-2023086,AI/ML Solutions,E-commerce,DE,Retainer,3969,27,1,0.0,19.0,Low,Net 30,2025-07-22 00:04:08.385001
IT-2023087,Data Analytics,Finance,DE,Fixed Price,12880,116,2,9.2,19.0,Medium,"50% Advance, 50% on Completion",2025-01-14 00:04:08.385001
IT-2023088,System Integration,Government,SG,Fixed Price,37616,298,5,8.14,7.0,High,"50% Advance, 50% on Completion",2025-01-21 00:04:08.385001
IT-2023089,Web Development,E-commerce,CA,Support Contract,4590,34,1,0.0,13.0,Low,Monthly in Advance,2025-07-13 00:04:08.385001
IT-2023090,AI/ML Solutions,Finance,SG,Fixed Price,27410,230,6,11.64,7.0,High,"50% Advance, 50% on Completion",2024-09-30 00:04:08.385001
IT-2023091,Database Management,E-commerce,AU,Support Contract,7140,68,1,0.0,10.0,Low,Monthly in Advance,2025-06-04 00:04:08.385001
IT-2023092,IT Consulting,Finance,AU,Retainer,75722,344,6,13.24,10.0,High,Net 30,2025-07-02 00:04:08.385001
IT-2023093,Network Infrastructure,Government,AU,Fixed Price,51450,396,6,12.35,10.0,High,"50% Advance, 50% on Completion",2025-02-22 00:04:08.385001
IT-2023094,DevOps Services,E-commerce,SG,Time & Materials,3708,36,1,0.0,7.0,Low,Net 30,2024-12-31 00:04:08.385001
IT-2023095,Web Development,Finance,UK,Retainer,7303,67,1,0.0,20.0,Low,Net 30,2024-10-18 00:04:08.385001
IT-2023096,Cybersecurity,Government,UK,Time & Materials,47128,228,4,10.79,20.0,High,Net 30,2025-04-06 00:04:08.385001
IT-2023097,Mobile Development,Manufacturing,SG,Time & Materials,10686,78,1,0.0,7.0,Medium,Net 30,2024-12-14 00:04:08.385001
IT-2023098,DevOps Services,Healthcare,SG,Retainer,41771,343,6,9.48,7.0,High,Net 30,2025-06-06 00:04:08.385001
IT-2023099,System Integration,Education,UK,Support Contract,24830,226,4,10.01,20.0,High,Monthly in Advance,2025-05-11 00:04:08.385001
IT-2023100,Data Analytics,Education,SG,Fixed Price,20719,188,4,9.27,7.0,High,"50% Advance, 50% on Completion",2025-02-21 00:04:08.385001
IT-2023101,Data Analytics,Education,CA,Time & Materials,15120,123,4,0.0,13.0,High,Net 30,2025-09-19 00:04:08.385001
IT-2023102,Cloud Services,Finance,SG,Time & Materials,33299,240,4,13.2,7.0,High,Net 30,2025-01-31 00:04:08.385001
IT-2023103,Data Analytics,Education,AU,Time & Materials,17108,129,3,0.0,10.0,High,Net 30,2025-08-05 00:04:08.385001
IT-2023104,Database Management,Education,UK,Support Contract,30812,241,4,14.65,20.0,High,Monthly in Advance,2024-10-02 00:04:08.385001
IT-2023105,AI/ML Solutions,Finance,DE,Time & Materials,16692,146,3,11.88,19.0,High,Net 30,2025-08-17 00:04:08.385001
IT-2023106,Software Development,E-commerce,UK,Support Contract,12727,89,1,0.0,20.0,Medium,Monthly in Advance,2025-01-08 00:04:08.385001
IT-2023107,AI/ML Solutions,Finance,UK,Retainer,47767,368,5,12.69,20.0,High,Net 30,2024-09-26 00:04:08.385001
IT-2023108,Cybersecurity,Healthcare,UK,Retainer,71751,318,6,10.55,20.0,High,Net 30,2025-03-03 00:04:08.385001
IT-2023109,IT Consulting,E-commerce,SG,Retainer,42874,201,3,8.55,7.0,High,Net 30,2024-09-30 00:04:08.385001
IT-2023110,Database Management,Government,DE,Time & Materials,19652,162,3,0.0,19.0,High,Net 30,2025-08-09 00:04:08.385001
IT-2023111,DevOps Services,Education,US,Support Contract,14662,128,3,0.0,8.5,Medium,Monthly in Advance,2025-04-15 00:04:08.385001
IT-2023112,Software Development,Healthcare,UK,Support Contract,8234,46,1,0.0,20.0,Medium,Monthly in Advance,2024-11-22 00:04:08.385001
IT-2023113,Data Analytics,Healthcare,UK,Support Contract,22006,176,4,8.46,20.0,High,Monthly in Advance,2025-03-06 00:04:08.385001
IT-2023114,Software Development,Manufacturing,DE,Retainer,9212,47,1,0.0,19.0,Medium,Net 30,2025-08-03 00:04:08.385001
IT-2023115,DevOps Services,Education,DE,Retainer,38574,307,4,10.38,19.0,High,Net 30,2025-08-04 00:04:08.385001
IT-2023116,Database Management,E-commerce,US,Fixed Price,46001,361,5,8.47,8.5,High,"50% Advance, 50% on Completion",2025-05-26 00:04:08.385001
IT-2023117,Mobile Development,Finance,CA,Retainer,3780,35,1,0.0,13.0,Low,Net 30,2024-11-27 00:04:08.385001
IT-2023118,IT Consulting,Manufacturing,CA,Fixed Price,7520,40,1,0.0,13.0,Low,"50% Advance, 50% on Completion",2025-03-11 00:04:08.385001
IT-2023119,Network Infrastructure,Finance,DE,Retainer,20862,176,5,13.72,19.0,High,Net 30,2025-06-07 00:04:08.385001
IT-2023120,AI/ML Solutions,Manufacturing,CA,Fixed Price,8685,65,2,0.0,13.0,Medium,"50% Advance, 50% on Completion",2025-02-17 00:04:08.385001
IT-2023121,Web Development,Healthcare,SG,Fixed Price,35302,274,4,14.01,7.0,High,"50% Advance, 50% on Completion",2025-06-05 00:04:08.385001
IT-2023122,System Integration,E-commerce,DE,Time & Materials,23928,181,5,8.63,19.0,High,Net 30,2025-01-24 00:04:08.385001
IT-2023123,Database Management,Healthcare,SG,Support Contract,13740,108,2,11.65,7.0,Medium,Monthly in Advance,2024-09-27 00:04:08.385001
IT-2023124,Cloud Services,Manufacturing,UK,Fixed Price,15800,79,1,0.0,20.0,High,"50% Advance, 50% on Completion",2025-04-05 00:04:08.385001
IT-2023125,IT Consulting,Manufacturing,US,Retainer,74876,351,6,13.92,8.5,High,Net 30,2025-05-14 00:04:08.385001
IT-2023126,Cybersecurity,Healthcare,DE,Fixed Price,39766,181,3,11.61,19.0,High,"50% Advance, 50% on Completion",2025-04-15 00:04:08.385001
IT-2023127,Database Management,Finance,UK,Fixed Price,41463,328,6,13.48,20.0,High,"50% Advance, 50% on Completion",2025-01-08 00:04:08.385001
IT-2023128,Database Management,E-commerce,UK,Time & Materials,9794,83,1,0.0,20.0,Medium,Net 30,2024-11-20 00:04:08.385001
IT-2023129,IT Consulting,Healthcare,US,Fixed Price,51960,228,3,14.76,8.5,High,"50% Advance, 50% on Completion",2025-08-03 00:04:08.385001
IT-2023130,Software Development,Government,US,Retainer,72504,393,6,12.98,8.5,High,Net 30,2025-05-10 00:04:08.385001
IT-2023131,Mobile Development,Finance,US,Retainer,7812,63,1,0.0,8.5,Low,Net 30,2025-04-10 00:04:08.385001
IT-2023132,IT Consulting,Finance,DE,Fixed Price,23682,108,2,10.76,19.0,High,"50% Advance, 50% on Completion",2025-01-29 00:04:08.385001
IT-2023133,Software Development,Government,DE,Retainer,54724,276,5,9.71,19.0,High,Net 30,2025-04-29 00:04:08.385001
IT-2023134,DevOps Services,Government,CA,Support Contract,28095,241,6,12.71,13.0,High,Monthly in Advance,2025-05-21 00:04:08.385001
IT-2023135,Mobile Development,Finance,AU,Time & Materials,8520,60,1,0.0,10.0,Medium,Net 30,2025-05-01 00:04:08.385001
IT-2023136,Network Infrastructure,Education,DE,Time & Materials,31730,255,4,8.79,19.0,High,Net 30,2025-02-11 00:04:08.385001
IT-2023137,System Integration,Manufacturing,UK,Support Contract,22642,192,4,13.53,20.0,High,Monthly in Advance,2025-01-27 00:04:08.385001
IT-2023138,Database Management,Manufacturing,CA,Time & Materials,9085,79,1,0.0,13.0,Medium,Net 30,2025-07-06 00:04:08.385001
IT-2023139,IT Consulting,Finance,US,Fixed Price,67385,299,6,12.52,8.5,High,"50% Advance, 50% on Completion",2025-02-01 00:04:08.385001
IT-2023140,Web Development,Finance,CA,Fixed Price,15323,126,2,6.93,13.0,High,"50% Advance, 50% on Completion",2025-04-18 00:04:08.385001
IT-2023141,Database Management,Manufacturing,UK,Fixed Price,45701,382,5,11.64,20.0,High,"50% Advance, 50% on Completion",2024-11-17 00:04:08.385001
IT-2023142,Cloud Services,Government,DE,Support Contract,19260,120,2,0.0,19.0,High,Monthly in Advance,2025-02-08 00:04:08.385001
IT-2023143,Data Analytics,Education,DE,Support Contract,23043,181,3,10.23,19.0,High,Monthly in Advance,2025-02-27 00:04:08.385001
IT-2023144,AI/ML Solutions,Healthcare,DE,Fixed Price,27443,244,6,11.65,19.0,High,"50% Advance, 50% on Completion",2024-12-20 00:04:08.385001
IT-2023145,Cybersecurity,Education,CA,Retainer,20286,98,1,10.27,13.0,High,Net 30,2024-10-05 00:04:08.385001
IT-2023146,Mobile Development,Education,US,Time & Materials,51768,428,6,9.13,8.5,High,Net 30,2025-04-06 00:04:08.385001
IT-2023147,IT Consulting,Education,SG,Fixed Price,28147,119,2,8.35,7.0,High,"50% Advance, 50% on Completion",2025-03-20 00:04:08.385001
IT-2023148,Software Development,Education,DE,Fixed Price,4050,25,1,0.0,19.0,Low,"50% Advance, 50% on Completion",2025-03-29 00:04:08.385001
IT-2023149,DevOps Services,Government,AU,Retainer,22060,175,3,11.41,10.0,High,Net 30,2025-03-08 00:04:08.385001
IT-2023150,Cloud Services,Government,SG,Time & Materials,25439,175,4,13.58,7.0,High,Net 30,2025-08-17 00:04:08.385001
IT-2023151,Database Management,Manufacturing,UK,Retainer,21805,167,4,12.46,20.0,High,Net 30,2024-12-09 00:04:08.385001
IT-2023152,Web Development,Manufacturing,AU,Fixed Price,19103,169,3,0.0,10.0,High,"50% Advance, 50% on Completion",2024-10-08 00:04:08.385001
IT-2023153,IT Consulting,Education,AU,Fixed Price,18177,83,1,0.0,10.0,High,"50% Advance, 50% on Completion",2024-10-26 00:04:08.385001
IT-2023154,Software Development,Healthcare,CA,Retainer,37842,184,2,11.52,13.0,High,Net 30,2024-11-23 00:04:08.385001
IT-2023155,Cloud Services,Manufacturing,SG,Retainer,9514,71,1,0.0,7.0,Medium,Net 30,2025-02-28 00:04:08.385001
IT-2023156,Mobile Development,Manufacturing,CA,Retainer,54391,435,6,14.81,13.0,High,Net 30,2025-01-24 00:04:08.385001
IT-2023157,Cybersecurity,E-commerce,DE,Fixed Price,66710,299,4,13.44,19.0,High,"50% Advance, 50% on Completion",2025-01-26 00:04:08.385001
IT-2023158,Database Management,E-commerce,SG,Fixed Price,45560,338,5,9.21,7.0,High,"50% Advance, 50% on Completion",2025-01-03 00:04:08.385001
IT-2023159,Mobile Development,Healthcare,US,Retainer,12009,103,3,6.52,8.5,Medium,Net 30,2025-04-11 00:04:08.385001
IT-2023160,Cloud Services,Healthcare,US,Support Contract,23025,136,4,11.94,8.5,High,Monthly in Advance,2025-03-05 00:04:08.385001
IT-2023161,Software Development,Education,SG,Time & Materials,12578,94,2,0.0,7.0,Medium,Net 30,2025-01-09 00:04:08.385001
IT-2023162,Mobile Development,Manufacturing,UK,Time & Materials,29412,224,4,13.84,20.0,High,Net 30,2024-10-06 00:04:08.385001
IT-2023163,Cybersecurity,Government,UK,Fixed Price,50411,246,6,14.36,20.0,High,"50% Advance, 50% on Completion",2025-03-29 00:04:08.385001
IT-2023164,DevOps Services,Finance,DE,Retainer,26372,207,5,13.45,19.0,High,Net 30,2024-10-22 00:04:08.385001
IT-2023165,Network Infrastructure,Healthcare,UK,Fixed Price,2400,24,1,0.0,20.0,Low,"50% Advance, 50% on Completion",2024-11-15 00:04:08.385001
IT-2023166,Network Infrastructure,Manufacturing,AU,Retainer,43779,348,6,11.92,10.0,High,Net 30,2024-10-12 00:04:08.385001
IT-2023167,Cloud Services,Government,US,Support Contract,31979,181,4,14.12,8.5,High,Monthly in Advance,2025-01-13 00:04:08.385001
IT-2023168,System Integration,E-commerce,SG,Retainer,22866,186,3,8.98,7.0,High,Net 30,2025-06-13 00:04:08.385001
IT-2023169,System Integration,Finance,US,Support Contract,13900,100,1,11.13,8.5,High,Monthly in Advance,2025-04-27 00:04:08.385001
IT-2023170,Software Development,E-commerce,AU,Support Contract,86617,439,6,13.7,10.0,High,Monthly in Advance,2025-01-12 00:04:08.385001
IT-2023171,DevOps Services,Healthcare,UK,Support Contract,35932,300,6,14.43,20.0,High,Monthly in Advance,2025-08-11 00:04:08.385001
IT-2023172,Cybersecurity,Government,UK,Fixed Price,57709,232,6,12.33,20.0,High,"50% Advance, 50% on Completion",2024-12-22 00:04:08.385001
IT-2023173,DevOps Services,E-commerce,SG,Support Contract,37187,291,5,10.76,7.0,High,Monthly in Advance,2024-11-27 00:04:08.385001
IT-2023174,DevOps Services,Education,AU,Retainer,3536,34,1,0.0,10.0,Low,Net 30,2024-10-24 00:04:08.385001
IT-2023175,AI/ML Solutions,Healthcare,SG,Time & Materials,7410,65,1,0.0,7.0,Low,Net 30,2025-08-17 00:04:08.385001
IT-2023176,Network Infrastructure,E-commerce,SG,Time & Materials,44918,359,5,10.61,7.0,High,Net 30,2025-07-18 00:04:08.385001
IT-2023177,Cloud Services,Manufacturing,SG,Support Contract,46620,356,6,9.09,7.0,High,Monthly in Advance,2025-07-28 00:04:08.385001
IT-2023178,Software Development,Manufacturing,CA,Fixed Price,22060,105,5,11.42,13.0,High,"50% Advance, 50% on Completion",2024-12-04 00:04:08.385001
IT-2023179,Mobile Development,Healthcare,CA,Time & Materials,39055,284,5,12.99,13.0,High,Net 30,2025-05-02 00:04:08.385001
IT-2023180,Cybersecurity,Education,US,Time & Materials,16281,81,1,0.0,8.5,High,Net 30,2025-04-13 00:04:08.385001
IT-2023181,Network Infrastructure,Finance,US,Time & Materials,11253,93,1,8.74,8.5,Medium,Net 30,2025-04-03 00:04:08.385001
IT-2023182,AI/ML Solutions,Healthcare,UK,Support Contract,50907,404,6,13.26,20.0,High,Monthly in Advance,2024-10-10 00:04:08.385001
IT-2023183,Cloud Services,Government,SG,Fixed Price,20709,104,2,13.68,7.0,High,"50% Advance, 50% on Completion",2025-05-05 00:04:08.385001
IT-2023184,IT Consulting,Government,SG,Time & Materials,76693,347,5,14.91,7.0,High,Net 30,2025-04-13 00:04:08.385001
IT-2023185,System Integration,Healthcare,SG,Fixed Price,38855,312,4,10.53,7.0,High,"50% Advance, 50% on Completion",2025-06-30 00:04:08.385001
IT-2023186,Software Development,Finance,DE,Fixed Price,55628,320,5,8.81,19.0,High,"50% Advance, 50% on Completion",2025-09-05 00:04:08.385001
IT-2023187,Data Analytics,Government,CA,Time & Materials,29595,220,5,11.86,13.0,High,Net 30,2024-12-23 00:04:08.385001
IT-2023188,Data Analytics,Manufacturing,US,Fixed Price,11740,98,2,0.0,8.5,Medium,"50% Advance, 50% on Completion",2024-10-23 00:04:08.385001
IT-2023189,Web Development,Education,US,Retainer,23436,162,2,13.85,8.5,High,Net 30,2025-03-15 00:04:08.385001
IT-2023190,System Integration,Government,SG,Support Contract,43576,347,6,9.9,7.0,High,Monthly in Advance,2025-06-11 00:04:08.385001
IT-2023191,Mobile Development,E-commerce,DE,Support Contract,13160,94,1,0.0,19.0,Medium,Monthly in Advance,2025-03-11 00:04:08.385001
IT-2023192,Data Analytics,Government,UK,Time & Materials,19885,162,3,0.0,20.0,High,Net 30,2025-03-15 00:04:08.385001
IT-2023193,Cloud Services,Education,CA,Support Contract,16854,98,2,0.0,13.0,High,Monthly in Advance,2025-07-29 00:04:08.385001
IT-2023194,Mobile Development,Manufacturing,AU,Fixed Price,18558,161,2,0.0,10.0,High,"50% Advance, 50% on Completion",2025-06-23 00:04:08.385001
IT-2023195,Mobile Development,Healthcare,UK,Support Contract,40872,336,6,10.73,20.0,High,Monthly in Advance,2025-03-29 00:04:08.385001
IT-2023196,System Integration,E-commerce,AU,Fixed Price,23174,157,2,9.18,10.0,High,"50% Advance, 50% on Completion",2025-01-28 00:04:08.385001
IT-2023197,System Integration,Government,AU,Time & Materials,8645,78,2,0.0,10.0,High,Net 30,2025-01-26 00:04:08.385001
